Post_ID,Post_Title,Post_Content,Post_Author,Post_Author_Rank,Post_Date,Post_Category,Number_of_Comments,Post_URL
PTSD-11,Scrambled 2.0,"I've been away from the forums for a while but tonight I felt it right to reconnect.I've been doing quiet well however I was triggered by a movie I watched and now I feel like I'm back down the rabbit hole.My childhood abuser passed away some years ago and I regret not feeling able to speak up to the authorities and my family sooner so he could have been made accountable for his actions. I have recently found out where his wife moved to and feel like I need to take this opportunity to contact her before she also passes. I know it wasn't her who caused my trauma but she also didnt stop it. I know I feel the need to contact her but I also don't know what I would say, I just know I would regret not taking the opportunity before it no longer exists.",Catie 08,Community Member,17-05-2025,PTSD and trauma,5,/t5/ptsd-and-trauma/scrambled-2-0/td-p/610520
PTSD-12,40 male with Childhood trauma PTSD,"Good evening everyone. Don’t know if I’m having a mid life crisis or that “thing” hidden in the closet is starting to creep out. im a 40s yr old male with steady job, lovely family with kids. My wife is brilliant with nurturing kids and looking after me. I am a very lucky man. couldn’t ask for a better life. However, my only darkest secret is that I’ve be exposed to sexual abuse as a child by family members and mentally physically abused by my step siblings. Been hopping to guardians one after the other due to parents not being committed. Not pointing any fingers but the shamefulness is real. On the surface level, I’m a well spoken, family oriented, fatherly figure man but on the inside, lack of self esteem, disengage and shameful I’m always trying to be positive in front of everyone and to my family. I do not want my children to experience what I have endured as a child. i’’m addicted to porn (daily basis) and tends to avoid my wife because i feel disgusted by myself. No one knows about my abuse history and addiction. i don’t have anyone to talk to and don’t have the courage to seek specialist. I’m currently applying ‘self diagnoses” by studying psychology related courses. I guess this is a head space for me to vent and a place to grasp for some air. Sorry to keep rambling but I’ve already feeling much better. please join in for discussion. Positivity shines and I believe we are powerfully to overcome our shadowed past. One step at a time.",Positivityshine,Community Member,10-05-2025,PTSD and trauma,5,/t5/ptsd-and-trauma/40-male-with-childhood-trauma-ptsd/td-p/610303
PTSD-13,Physical Intimidation and Breaking Household Possessions: Struggling to recognise violence?,"It's been a while since my last forum post about in the depression section but I can't seem to avoid drama in my life. I'm beginning to think it's a 'me' problem. I'm supposed to be cramming for my assignment but this topic weighs heavily on my mind. I have a sibling called S. I got into an argument over unintentionally provoking their dog in order to stop my dog from being chased and attacked. I know that S's dog is overly reactive to loud noises but adrenaline fully kicked in when I saw it mouth my dog on the neck and yelled because my dog has been attacked UNPROVOKED multiple times by this dog. Anyways, S yelled over me for shouting at the dog when I was trying to explain, then proceeded to walk towards me in an aggressive manner and shout pretty much in my face. I honestly thought that I would gonna get hit. After that I talked it out with S and apologised for my outburst; honestly told them what I thought about their dog not being muzzled trained even at home, being over-stimulated around guests and having a history of attacking my own dog and family members and they were calm at that point. Anyways, doesn't sound too violent right now so I'll mention what scares me. S has gotten mad in arguments before, to the point of breaking things. Things that don't belong to them. In fact, even my bedroom door is screwed - I'll leave that up to imagination. So, when S walked towards me, I honestly thought I was next to break. I know that I messed up massively with their dog, but at what point is walking up to someone to shout crossing the line when I can hear them perfectly from across the room? That being said, I am extremely tempted to call the police the next time they react like this over anything, even stress. I understand being crazy angry but I struggle to understand making someone feel unsafe even if they're reacting inappropriately towards your dog. Anyways, I know I'm a bum, but I feel like an unsafe bum? P.S. They also said that I was not acting my age after they slammed a chair down (the same type they broke previously) and walked into what I think is my personal space in retrospect . That seemed pretty hypocritical...unless I'm a real bumbum. Also I don't really think of them as a sibling after they called me retarded (I draw the line at that point) so I think there is some internal conflict about whether I care about getting authorities involved. Thanks for your time and please enlighten me with wisdom so I can act my age. Best wishes",Bloom39,Community Member,03-05-2025,PTSD and trauma,2,/t5/ptsd-and-trauma/physical-intimidation-and-breaking-household-possessions/td-p/610069
PTSD-14,Abuse.,"So, when I was 4 I was put into a foster home. And I was abused awfully every day until I was almost 15. I spent almost 11 years in that House, this year I turn 18 and I’m not exactly sure how to cope with the sudden change in my environment. I feel like my trauma has made me more jumpy and less trusting. I have a new family now including an adorable younger brother and an amazing mother and father. but recently this abuse has come back to haunt me in ways I could never have imagined I’ve started acting out even to my parents and brother and I’m scared that I’m gonna do something to hurt them. I just wanna be a good daughter and sister but I feel like my trauma is corrupting me and making me a bad person. everyone I talk to about this doesn’t seem to understand that I do genuinely fear becoming like my abusers. I’ve gone to therapy and I’ve done the medication and the treatments. but I feel like at the end of the day it’s very much monkey See monkey do is there anything I can do to prevent myself from going down that path?",Guest_10170,Community Member,15-04-2025,PTSD and trauma,5,/t5/ptsd-and-trauma/abuse/td-p/609396
PTSD-15,"Sexual assault, following & intimidation","This is a long story but I’ll try sum it up.So basically 2 of my friends were dating and they broke up because the guy (Baxter) sexually assaulted my friend (Rosa) - it was a very heavy topic and I was on the phone to Baxter and went off at him because of doing such a terrible thing to my friend, and I didn’t release but he had people in his car listening in to everything I was saying. I then rang my friend Rosa back and told her I was going to go for a walk just to clear my head but stay on the phone to her in case anything bad happened as Baxter knew where I lived. I was scared but thought he most likely won’t come up here. I kept saying to Rosa on the phone “I feel like something bad is going to happen because he knows where I live, so I’m going to call my ex boyfriend (Jayden)” I then hung up and called Jayden and just said “hey can you meet me in the bottom of your street as Rosa and Baxter broke up and I feel something bad is going to happen but I’ll explain everything to you when we get there “ I hung up and called Rosa back, and by then I had noticed a red car following me around , it pulled up beside me and the back window rolled down and it was Baxter. I said “how did you know where I was as I don’t have my location on for anyone” and he just said oh don’t worry love we’re just going for a drive. Next minute him and two other boys jump out of the car and start circling in on me and backing me into a bush - they started throwing around all of these threats, luckily Jayden had showed up when he did because I don’t know what would’ve happened if he didn’t Is just it’s been so hard to navigate my feelings since it happened. Like it was really traumatic. I can’t sleep, I can’t eat and I can’t feel safe in my own house anymore because im scared their just going to show up at any point And I guess factoring my experience with men and abuse and sexual assault it just made it a lot worse",Corinaf,Community Member,24-04-2025,PTSD and trauma,2,/t5/ptsd-and-trauma/sexual-assault-following-amp-intimidation/td-p/609774
PTSD-16,Teen child anxiety PTSD Trauma?,"Teen child does not want contact with his father, teen has told father constantly via text,mother ( me) and child psychologist over and over he wants no contact at all with father.Issues from abusive/ grooming behaviour from father when we were a family unit. father has recently contacted child ,child’s reply to father was father should K himself. I sat down with teen and said that is not an appropriate thing to say to anyone, teen could have said he doesn’t want contact.teens reply was he has said it over and over 1000’s of times, his father doesn’t listen.I will let child psychologist know what has happened. what can I do in this situation??",JayCee28,Community Member,21-04-2025,PTSD and trauma,9,/t5/ptsd-and-trauma/teen-child-anxiety-ptsd-trauma/td-p/609677
PTSD-17,Narcissistic abuse survivor,Abusive relationship survivor any support groups who understand narcissistic abuse please?,Guest_86799466,Community Member,23-04-2025,PTSD and trauma,2,/t5/ptsd-and-trauma/narcissistic-abuse-survivor/td-p/609728
PTSD-18,Why are bad choices made when 11/12yo destroying me 40 years later,Hi im not sure wether this is in the right section or if there even is a right section. I find this hard to put out there for all to see but will try. Im 53yo male that has suffered seperation issues all my like due to being adopted. Dont get me wrong i was very lucky to get exception adoptive parents. I was sent to boarding school before my 12th birthday. So seperated again. Would run away from school on weekend into the city. Where i met a friend a few years older than me. He introduced me to drugs n other people that i then allowed to abuse me to get the drugs i needed. Im sorry if this doesnt make sence but nothing in my head does.,Bigdog72,Community Member,17-04-2025,PTSD and trauma,6,/t5/ptsd-and-trauma/why-are-bad-choices-made-when-11-12yo-destroying-me-40-years/td-p/609531
PTSD-19,Husband charged with sexually abusing my 7 year old Grandaughter,I separated from my husband the day he was charged - January 2025i am now living with my daughters.I miss my husband terribly and worry about how he is coping.i know contacting him is not the right thing to do but the pull is extremely strong.Has anyone been through anything similar and has some advice for me.It would be greatly appreciated,JulieA,Community Member,17-04-2025,PTSD and trauma,3,/t5/ptsd-and-trauma/husband-charged-with-sexually-abusing-my-7-year-old-grandaughter/td-p/609527
PTSD-20,Car accident and domestic violence,"I just wanted to get my story out there and see if could find someone to relate. I was t boned at an intersection by a road train at 75kms, that moment destroyed my entire life, left me with a brain injury and permanent disabilities. Along with that really bad ptsd and emotional regulation problems, since that moment I’ve felt alone, like no one fully understood me, I still feel that way now, I can’t work and I feel worthless. In the midst of my recovery I thought I had found a man who would help me through it, he seemed to understand and help me a lot. I trusted him to help me and I needed him to help me. Until he stopped, he started physically abusing me multiple times, on the last account he nearly killed me with a car when he was drunk. I have felt worthless, I have felt useless, unwanted and broken since all these things have happened to me. I can’t seem to stop feeling this way, like I should have died. I have people supporting me but it doesn’t help me, like I can’t seem to get what I need from them. I feel too broken to stop feeling this way and I don’t know if I’ll ever stop feeling like this. I just want to know if there is anyone out there who could relate, who knows how this all feels.",Tearnie13,Community Member,12-04-2025,PTSD and trauma,2,/t5/ptsd-and-trauma/car-accident-and-domestic-violence/td-p/609316
PTSD-21,PTSD shattered memory's and getting some of them back,"Hi all I feel very alone as I haven't found anyone that has had a trauma where they have lost memories and had others shattered into pieces that could not be understood. I knew something was wrong 50 years ago when lots of people (counsellors) came into the classroom and talked about a boy that had drowned, I didn't know who he was and thought I should have. Then the boy next to me leaned over and told me ""he thought he was a pair of shorts hanging on the side of the pool "" I immediately had a picture in my head of this, it has never left me I have shards of memories that I could never put together or understand these are sharp and vivid. Being asked to go to a friend's place Talking about a P76 Leland car with him while walking to his place One of churning water this made no sense to me until about 5 years ago And the one of walking home but not knowing where I had come from I have thought about these everyday of my life and I could not understanding them. About 6 to 7 years ago I decided I was going to work them out. It led me to have a really bad brake down I found help with a Psychologist and a stint in SPP I got more memories back and on the memories and family evidence I sort of believe I was there. My question is are there others like me And how do you cope with the thoughts around are the recent memories real, I'm at 98 to 99 percent real, but that 1 or 2 percent just f--ks with me",1234,Community Member,16-04-2025,PTSD and trauma,1,/t5/ptsd-and-trauma/ptsd-shattered-memory-s-and-getting-some-of-them-back/td-p/609463
PTSD-22,Miss,Hello,Guest_59190340,Community Member,16-04-2025,PTSD and trauma,1,/t5/ptsd-and-trauma/miss/td-p/609477
PTSD-23,Self diagnosis,"I have not said anything for 3 years, it’s been a lonely and isolating experience and have cried my way home many nights, but after a physical injury at work where I ended up in hospital for the night I called my manager who shouted at me when I called to ask what I do with capacity form for worksafe, she accused me of self diagnosing by going to hospital.. I have been 4 weeks in sling with a deep tear in my left arm tendon (can’t self diagnose an ultrasound), her treatment after that of me is indicated of her and a handful of her long term employees treat staff. I feel you years and years of abuse, isolation, whispers of ho ( I’m a 65 yo grandma and a widow for 10years) old old woman, I have to work im alone, and actually very good at my job, previous receptionists have just fled but this time her treatment re the injury just triggered a meltdown .. I don’t want to leave the house I’m intermittently crying .. not like me I’m strong but this has taken so much from my self worth I don’t know if I can get back up again once my arm heals.",Guest_94670177,Community Member,06-04-2025,PTSD and trauma,2,/t5/ptsd-and-trauma/self-diagnosis/td-p/609099
PTSD-24,Spiraling out of control,"Hi everyone. So im really struggling right now in my life. I feel like im stuck in a dark deep hole in the dark and I feel so alone. Context: I suffer PTSD and have suffered multiple terrible trauma experiences. I just feel so broken. I dont know what to do. I have no life direction and all my triggers are on high alert. I also struggle with anxiety/ depression which has become more severe recently due to triggers that are related to my trauma. I just feel like anytime I try to do something and put all my effort in, im always disappointed. I always end up getting rejected, hurt, or getting my hand burnt (hypothetically not literally). I just feel like nothing good is going to happen in my life. I just feel like I am a broken human being. I feel like no employer will take me on if I want to apply for a job - im so messed up mental health wise plus I dont like being around people. I get triggered SO easily I cant control it. I guess I am writing this post because I feel so alone right now in all of this. i dont know what decisions to make because right now avoidance is the best option for me. If I avoid making any life decision I'm not going to spiral more out of control. And right now my mental health is very delicate. Plus I recently had a fight with a friend and I'm not talking to him. He's been a huge support system for me and I feel he doesnt understand my mental state right now given the stress of timing of the year also regarding traumatic events. I just feel so alone and I want to never have to work again. I want to just be left in peace and deal with my broken version of myself after being sexually assaulted, abused by my ex and abused my family. I just dont know what to do. Does anyone else understand what I am saying. I just would love to know that I'm not the only person struggling with PTSD, trauma and mental health. I just want to curl in a ball and hide away from the world, in hopes that everyone will just leave me alone and allow me peace and quiet to figure out what the hell I am going to do with my life. I'm scared of living after all the awful life events I've faced and survived. I'm scared of trying again. Does anyone else relate? Id love to hear from you.",Rach28,Community Member,30-03-2025,PTSD and trauma,15,/t5/ptsd-and-trauma/spiraling-out-of-control/td-p/608817
PTSD-25,My child was abused,"I’m just not sure how to go forward.i found out my son was sexually assaulted by a teen neighbour when he was in lower primary school. I didn’t find this out until he was a teenager himself and we had long moved away. I myself was molested as a child and it was always some I thought I could protect my own kids from. But I have failed. I had a small baby at the time I found out and he is now 8 years old and he struggles. I know it’s because of me being so depressed after what I found out. Everything has suffered. I have been estranged from all my family since my kids born because I asked them for support and was never believed. I am also estranged from everyone in my life because I just hate myself so much. I can’t even hold a normal conversation anymore. Nobody at work likes me, my own partner hates me. My kids hate me. My in laws have also been no support and just call me a bitch. Now my partner wants me to leave. I understand and don’t blame him. I just have nowhere to go and nobody to talk to. Any advice",Happygolucky77,Community Member,26-02-2025,PTSD and trauma,2,/t5/ptsd-and-trauma/my-child-was-abused/td-p/607442
PTSD-26,Feeling like things will never get better,"Growing up, I was made to feel unwanted. My teachers would constantly shout and criticise me whenever I made a mistake. My peers would exclude me and put me down. My parents would tell me I would never be good enough and that I deserved to suffer. Because of these things, I felt like I didn’t matter. I pushed people away and isolated myself because I didn’t think anyone would like me. I sabotaged my future and my chances of graduating because I didn’t believe I deserved success. I felt like people didn’t want me around and that the world would be better off if I was gone. Because of the things people have said about me, I’ve missed opportunities. I never got to have friends. I never got to feel wanted. I never got to feel like I deserved anything and I never go to feel like my life mattered. And now that all these things are gone, I can never go back and experience them. Those times are gone and I can never change what happened. Even if I work through my trauma now and undo all the things people have taught me, it will never change anything. It will never alleviate the pain. All that pain is going to stay with me in one form or another, and I will always be in a state of suffering. There is no hope. There is no future. The pain from what I have lost will always be a part of me. All that is left for me is a life full of eternal suffering.",ScooterCat,Community Member,31-03-2025,PTSD and trauma,3,/t5/ptsd-and-trauma/feeling-like-things-will-never-get-better/td-p/608870
PTSD-27,Should I take the hint?,"I hurt my friend multiple times and I know he is very stubborn. He might forgive but he will never forget and he no longer trusts me. I always have to initiate contact and he ignores me on mutual social platforms. should I just accept he no longer cares? I know it was all my fault, so perhaps I should take my punishment and move on?",Rowen13,Community Member,31-03-2025,PTSD and trauma,5,/t5/ptsd-and-trauma/should-i-take-the-hint/td-p/608872
PTSD-28,I feel destroyed.,"Hello everyone, i'm gonna start off strong for this one. I’m still really hurt over a falling out I had with people I thought were my close friends. It started because of a disagreement and some uncomfortable situations involving another friend, but instead of working through it, they ended up twisting things and turning on me. I showed them the truth, but they ignored it. I was slowly pushed out of the group, isolated during one of the lowest points of my life, and made to feel like everything was my fault. My bestfriend even used personal things I had shared in confidence, getting her boyfriend to attack me with it, including my mental health, identity, body and life struggles. After everything I had been through, it was like i was hit by a truck. It still hurts me because I don’t fully understand how it got so bad or why I was treated that way. I feel like I lost people who meant the world to me, and it left a hole I haven’t been able to fill.Around the same time, I was also dealing with a toxic relationship. Someone I dated repeatedly ignored my boundaries and made sexual comments even when I wasn’t in a state to consent or push back. I had shared my past trauma with them, and they used that vulnerability to their advantage. Even though I know deep down I was manipulated and taken advantage of, I still blame myself sometimes. I feel confused, guilty, and honestly a little broken.I’ve been trying to move on, but it’s like I carry this invisible weight every day. I struggle to trust anyone anymore.. friends, partners, even myself. I second guess everything I say and do, like I’m always walking on eggshells, waiting for people to leave or hurt me. I want to heal, but I don’t know where to begin or how to stop feeling so alone.",N0vaaa,Community Member,29-03-2025,PTSD and trauma,1,/t5/ptsd-and-trauma/i-feel-destroyed/td-p/608800
PTSD-29,40yr old lost soul,My life is falling apart. I’m a 40 plus year old mum about to divorce due to toxic in-laws and my mental health is failing. I have lost all hope in life and am so lost. I no longer know what I want to do with my life and don’t know how to begin to start to heal from suspected PTSD due to narcissistic abuse sexual abuse and trauma.,Guest_35023445,Community Member,30-03-2025,PTSD and trauma,1,/t5/ptsd-and-trauma/40yr-old-lost-soul/td-p/608810
PTSD-30,PTSD ANXIETY DEPRESSION,"Hi, I'm new here & have PTSD Anxiety & Depression,I was in a DV relationship with a narcissist for 3 years & my ex-partner physically & mentally abused me.I lost contact with my friends I was isolated and thought I was going crazy. I have been suffering ever since. I have nightmares about the trauma caused and my mental health has deteriorated since. I keep thinking about it daily and can't get him out of my head. Some days are better than others and when I feel like this, I shut off from everyone. I don't speak to my sisters because they always blame me when something goes wrong as I have always been the black sheep of the family.",Guest_01984308,Community Member,12-03-2025,PTSD and trauma,2,/t5/ptsd-and-trauma/ptsd-anxiety-depression/td-p/608065
PTSD-31,PTSD AND TRAUMA,"Hello, l am reaching out have got PTSD and trauma every since a little girl in start. l would like to share stories with each other. l believed that anyone, who has had trauma, life changes understand each other better than anyone else ️ l am going through a rocky road with my partner's mum & Sister are got cancer and my partner is legally blind now. l don't know, if l should be putting this message up here, but l just needed to vent and, if anyone is reading my posts. That they are hearing me, where l at this moment in my life. We all have up and down in our journey. Love to hear everyone else stories.Love and Light .",Bubbles5,Community Member,19-02-2025,PTSD and trauma,6,/t5/ptsd-and-trauma/ptsd-and-trauma/td-p/607144
