Topic,Count,Name,Representation,Representative_Docs
10,1094,10_depression_feel_like_know,"['depression', 'feel', 'like', 'know', 'want', 'time', 'thing', 'life', 'help', 'try']","['need help hello   female go professional wrong ask wrong talk friend tell need talk seek help step want tell doctor want ask help want wrong time lately feel need help want doubt moment need help feel make make mountain mole hill today close friend tell tumor neck feel like issue arnt important anxiety panic attack stress lot super frustrated people thing way want super simple thing feel bit feel like dark depression bed happy moment suddenly excited like tomorrow christmas smile nearly laugh sure life happy feel like get anxiety sleep night tv work small sound issue feeling issue word ask help easy way feel sick stomach think', 'feel like anxiety take life hi t     year old post type online forum look people abit advice literally tell pretty positive person look bright thing   good mental health check know prone poor mental health   pretty family diagnose bpd depression anxiety disorder etc past year sick anxiety live family member severe depression   slowly take toll find hard get anxiety single little thing wrong   include drive car   know irrational majority thing anxiety obviously help tell irrational think certain routine feel like bad happen   tell odd thing thing worry come true know sound odd normal try different thing help like meditate oil use social medium anymore feel like add extra stress life social outgoing happy bubbly person lot friend   second guess single word people sadly know probably get lot family member depression tread egg shell majority time   trigger warn   suicidal lot time scared wrong thing   ofcourse blame way say relevant act way love blame problem definitely big seriously act like shaky person scared life sure chest pain dizzy hold breath feel extremely anxious advice great thank', 'like social general anxiety disorder like people lead depression struggle year able escape discourage thought inside head want stop afraid thought lot thing   year old know age like good feel like time feel despite attempt describe anxiety depression friend understand think go away like year family recognize recently anxiety attack decide talk doctor tell anxiety depression medication therapist feel like brain keep tell go escape thing inside head failure friend want let people tell calm past think know feel suffocate skin terrified abandon guess thought leave world scare afraid   constantly choose stay home fact want stuff exciting   friend leave want like struggle life fine guess like thought people like help control normal know probably sound stupid come 14yearold     help talk like friend greatly appreciate struggle little sick continuous panic attack thank read andor help justsomegirl']"
11,386,11_school_anxiety_friend_people,"['school', 'anxiety', 'friend', 'people', 'feel', 'like', 'work', 'know', 'year', 'time']","['stress anxious want start new life warn possible trigger sexual abuse ex live parent brother     approximately   month ago stop son   march go house night come home catch seperate moment behave sexually bed extremely inappropriate   year old mummy sence high alert clearly indicate expose online porn andor show sexual behaviour want speak take gp soon possible call child protection get involve allow contact dad house instinct start son go house disrespectful fowl langue son inappropriate thing trust dad protect tell leave son family care leave uncle bedroom listen matter time tell feel guilty think control overprotective ex find new girlfriend turn go mediation feel like son life stop see worried son safety make sure house   month time hope new town beach know find happiness want beach long time 45hrs away ex happy travel 2nd weekend son ex spend time wonder ex stop mediation try stop sole carer son know good run away want start new life find happiness   year miserable relationship emotionally tired try stay strong weakness stay strong son advice appreciate thank', 'want advice family gaslight hi struggle depressionanxiety well   year officially diagnose   month ago recently anxiety take life physically new place place far away home panic attack counsellor help take small step lessen anxiety overall happy progress month ago leave house   minute walk block new thing able panic short quick walk drive grocery store start eat   meal day pass driver test panicky overcome nervous drive think good progress month time lot family disagree specifically mum grandma pressure thing know ready get job travel far away visit people tell time thing counsellor tell take small step know comfortable problem time mum visit end angry argue anxiety try tell thing good matter bad end cry say thing like think feel gaslightlike phrase usually leave breakdown cry lot physically unable explain feel word face ask big overwhelming question like like advice deal family member try divert anxiety personal issue prepare answer question like simple answer anxiety let thank read response appreciate', 'like time overseas trip anxiety hi time website post   week ago return quick   day trip america friend time country   year old comfortable person usually trip plan leave   month quick uncomfortable change lot thing life happen lead event anxious long flight money brain think step plane look way home forget thing curl bed big scary plane experience want   money little annual leave work busy little money lifetime opportunity worried fomo   year happen right life alas   week feel like   week get tired find hard refocus zone go doctor say virus suffer dry mouth sore throat let course cry   time week reason feel panicked reason steady worklife routine find sit desk zone think life dark thought go away bubbly like thing get love see friend shop etc struggle socially thing go regular gp week thankfully holiday hope help refer tonight drive feel like close reason drive like everyday panic little try refocus worried stupid usually cautious control feeling unlike help question experience life change deal long feel way get advice feel like want travel feel wonderful currently lose scaredhelp thank x']"
12,120,12_anxiety_baby_hear_pregnancy,"['anxiety', 'baby', 'hear', 'pregnancy', 'know', 'music', 'pregnant', 'feel', 'people', 'like']","['anxiety future hi   year old marry   child   year old   month old start have panic attack   month have daughter start medication feel help tendency obsess thing husband talk feeling attitude friend parent religious live overseas dad dementia friendship base choose spend lot time anxiety start know help drink alcohol yesterday city regional area feel overwhelmed recently find miss redundancy pay company resign month soon work child reliant husband dislike job way hate thought leave baby want return work soon guess feel lack control fear good end have work know go juggle support system husband emotionally feel bad pain job sure think job time mother easy gig get feel bit useless happy bless child think thing life hurt make fearful future find hard relax flow relate', 'anxiety depression know anymore need help   suffer anxiety adn depression   year get assulte taxi driver speak people fall handle thing stuggle need help start   year ago happend   boyfriend struggle split   month later closure situation police interview fly india day herd severe anxiety couple month couldent leave house friend fun thing dull lifeless smoker couldent smoke anymore drink fizzy drink like coke fanta head think go anxiety bad head time go start feel well hate myslef   month later boyfriend get get pregnant   month later beuatiful   month old boy happy anxiety pregnancy severe call police find clue go happen tell try india wait people sign extradite go police station december year explain want drop case constantly thinkng couldent head want start fresh clear head tell worry year tell relax stop think happen want fine tell information know involve girl know    month aftrer see rock door week say court month evidence sign statement guy india want hurry thee process start feel like start feel happy normal came crash pretty quickly cry come worry partner thing happen time stress scared nervous wat feel like son need happy work time make hard rest go night friend couple drink partner come pick soon get home shower feel anxiety creep like blow anxiety attack feel like die stick hole walk outside breathe feel like go sick have heart attack feel like old time like know feeling today feel crap feel sad emtionless lethargic know anymore want feel normal bad feel like stick ba dream ill wake day ok day bad get news need court upset emotional lifeless taking life need stop wish happen wonder life like sure happy enjoy life want normal feel normal thought run head feel like square', 'pregnant anxiety roof hello couple year suffer bad gad   year thankfully different technique see psychologist get healthy lifestyle pattern manage pretty couple year recently find pregnant anxiety come force planned pregnancy happen lot quick think grateful issue believe bad anxiety spike find emetophobia fear vomit know chance morning sickness naïve self think ah deal come pregnant consume thought day day halfway   week   mean week morning sickness start feel nauseous stop think tired know normal symptom help make feel anxious constantly edge body shake time try relax thought consume google numerous thing online know bad thing bad break night think thing like maybe ready control realize way deal anxiety couple year ago probably form take control life come bite feel totally control rear ugly head wonder feeling pregnancy overcome think oh hopefully pass second trimester   week know cope day day barely function week work bad know want talk weekend want hide away home leave house know healthy']"
13,186,13_feel_like_work_time,"['feel', 'like', 'work', 'time', 'friend', 'year', 'day', 'people', 'want', 'thing']","['anxious sad overwhelmed thought complete everyday task hi wonder anybody helprelate suffer mild anxiety manage panic attack year teacher currently holiday excited feel hopeless anxious sad entirely know spend day cry motivation everyday household thing mean like dish catch friend afternoon spend morning feel anxious stupid thing like wear time guilty fact household thing need etc etc think way get late cancel suck tear go know enjoy hour feel like put happy act soon get car bawl eye point nearly panic attack bring feel like time round good night sleep go fix today sad feeling make sense hard time talk love one want burden worry fiance clinical depression worry time manage live happy healthy life little brother severe anxietydepressioni guess worry time take toll moment everyday thing cook dinner think cook go supermarket sweep floor feel completely overwhelming thing badi feel like clock time day feel anxious waste holiday time relax enjoy feel anxious go work   week love job studentsi feel selfish complain know get good thank read', 'constantly overthinke time hi suffer anxiety depression awhile   deal primary school overthink life start new job month enjoy work colleague meet great work realise yesterday work anxiety attack job time happen start new job thought anxiety attack happen take break work afraid stop work thinking start get anxious job require drive place complete task drive break work problem food unfortunately bad enemy live eat worry eat eat eat want feel sick nervous unknown situation think eat work think time big day feel weak light head mind overwork feel mind feel overwork worry stomach energy lately weekend feel tired lethargic noticeable weekend couple day anxiety attack hobby thing spare time want thing want straight away physically possible   day hour try hard finish important start panic come tell ok leave help start worry medication prescribe gp mum suggest visit gp look up dosage try different medication feel medication help wonder see psychologist hard appointment know need post feel like need thank read', 'emotional anxiety young outgoing plenty friend active person live mother parent divorce abusive father bully school shatter self confidence age   fallout father sport try time invite house speak   year   mother diagnose die cancer sister grow quickly deal turn computer stop socialize friend stop active lifestyle start eat unhealthy weight go get point issue complete course study go job computer get house find stick lifestyle indoor job bad place time support cousin try house thankfully go party meet person see year ask life tell get computer hear disappointment follow childhood dream   reignite interest decide industry get job involve large crew girl guy sudden felt throw deep end sociably like forget interact properly scared awkward silence situationsparticularly girl develop anxiety begin worry think take time holiday friend party destination feel need drink order calm othersi night drink decide stupid try drug order think comfortable opposite reaction notice eye think look panic think anxiety attack breathe properly come home find anxiety issue flare nervous talk close friend   people live diagnose anxiety see psychologist help calm bit find need drink time go nervousness year stop take medication think deal certain people nervous care think pursuit new career go overseas studyi tell great avenue good friend mean come pull minute say handle financially position pull send furniture caring girlfriend come visit find isolation deal come go get start effect study brain shut nighti think sinusbreathing issue suffer struggle class vicious cycle day go hospital multiple test huge bill think relapse anxiety issue prescribe medication night take wake sick dog know need return home doctor affordable rate doctor home find white blood count abnormally low body fight test find doctor decide depressed prescribe medication deal sleep get run get fit month doctor release level start say study feel need sleep issue fix time beinghelpe medication nasal decongestant problem getting feed ongoing issue take toll relationship girlfriend end complete course overseas fly color commit focus happy go big challenge challenge face return home see friend family expectation feel happy care people think start watch tv people shoe dwell negative thought big concern show emotion care andor worry look nervous constantly think situation probably nervous eat make situation face hard think aspect show emotional happiness come genuine happiness feel good healthy long time give release level way think important test soon return thankfully ok low dangerous level furthermore test breathingnasal issue doctor say highly allergic determine say need   year study determine profession choose allow spend   year getting test think breathing issue lead anxiety heavily medicated take allergy decongestant nasal spray combine plenty exercise hope fix sinusbreathing problem year doubtful   worry far issue consider see psychologist help anxiety issue sick death care people think want live life worry important go career choose issue opt avoid medicare rebate want anxiety medical record fare look job try phase depression medication way combat anxiety show emotion avoid worried look nervous like say effect see friendsfamilygirl care think expectation having see alot people long time look happy struggle smile complete stranger struggle']"
14,449,14_feel_like_people_friend,"['feel', 'like', 'people', 'friend', 'want', 'life', 'know', 'think', 'time', 'thing']","['think psychosis schizophrenia rough time grow family issue get bully badly primary school get bully bad high school college huge people stress induce tummy problem isolate shy barely talk friend year close end   have psychotic episode say strange thing online people school see angry say come house stress get extreme point blank remember go bed day psychotic episode get bad last   month psychiatrist try different medication work get well stop take medication   year later think need fine stressful happen psychotic episode one year stressful event psychotic episode think bad person try kill include family doctor tablet poisonous tell real bad episode think angel world innocent experience feel good bad thing episode minute think like superhero minute think horrible second episode psychiatrist ask think schizophrenic psychotic episode think schizophrenia tell people talk lot time mean way say mind play trick people talk lot talk thing   year ago everyday think likely psychosis experience feel type thought time   episode psychiatrist tell lucky medication work lot people one work mean medication work live rest life think try kill unbearable', 'tip advice thing scare anxiety think past especially think present thinking future urge eat vomit fainting nausea dizziness feel gassy thinking religion religious family feel like lie deal religious trauma think death thought break thought get well cold hot weather thought go crazy insane constantly feel edge headache thought fake mental illness like mentally ill effect med know concern constantly existential dread everyday conscious mental health panic realise head loud sound thought mean toxic person depression depressive episode come thought eat time eat little eat fast emetophobia change feel stuck body fatigue thought drink ot little emetophobia live dysfunctional family constantly fight live anxious mom bad family health history struggle people go learn conquer achieve overcome thing achieve thing try achieve brain normal thing mind teen thing severe anxiety depression agoraphobia ocd hard deal afraid brain feel different know honestly feel like help tip thing help try psychologist want start', 'go crazy hi new wonder anxiety ocd similar symptom scared develop mental illness suffer anxiety year recently ocd type thinking manage find way deal start feel well morning wake start random racing thought feel like mean hear voice outside head like thought race different voice sense half sentence scare course start google big mistake terri develop schizophrenia psychosis serve anxiety past   month scared brain go completely check help worried go crazy']"
15,310,15_feel_like_year_time,"['feel', 'like', 'year', 'time', 'depression', 'thing', 'think', 'try', 'work', 'know']","['lonely birthday valentine easter christmas good day feel lonely sad bad day birthday birthday today 5th year wish happy birthday family friendsmy son especially sure celebrate birthday push today past year feel totally hopeless lonely think care maybe time hope year bad previous know fight push thing change truly happy', 'time year trigger hey find year trigger emotionally bad thing happen consistently december think find today feel pretty emotional probably mean depressed want admit suffer depression time life action depressed today sure reason time year time year feel trigger past emotion action love christmas time like watch christmas movie carol time wait family decoration super early merry christmas type christmas love feel like grinch care christmas care family rest hate feel way apartment block christmas party night organizer come yesterday feel flat run go achy day age want chance person go party give covid stay home bed deal fomo fall know trouble compare know people struggle difficult stuff feel talk family worry partner alpha male type person feel like want listen emotional stuff want talk friend know look chest guess thank x', 'struggle week hard father birthday pass away nearly   year ago day scared birthday friend feel crap force week break work normal xmas holiday weekend feel sad feel   hang friend holiday spend time family get thing time actually look forward go work monday feeling subside stress bit aggressive friend associate anymore new year deal rude service previous job service provider people refer unemployed lead file complaint thing bother worry social life pick close friend life trust care tell mother social come question   bad new friend bit shy chase friend social thing let lot find hold hard want isolate miss able talk regular basis ex close friend long time feel friendship right contact break august feel begin forward time like feel grief father lonely feel confide new friend nice close scared birthday scared']"
16,298,16_feel_know_like_think,"['feel', 'know', 'like', 'think', 'people', 'want', 'guilt', 'thing', 'life', 'bad']","['anxiety   stomach problem   hey year year hell anxiety control feel like year surgery wedding overseas travel   month sort trigger anxiety control suffer stomach problem moment nauseous pain stomach tender touch stomach appetite time hungry get reflux test doctor come normal suggest anxiety start take antidepressant   day ago roughly symptom calm stomach tender touch wait endoscopy specialist hint anxiety relate suffer stomach pain problem anxiety long calm thank', 'stomach issue hi write share current experience have stomach issue wonder go similar experience offer advice have bloated gassy stomach couple month tablet stuff help go gp self test major issue prescribe slightly strong stomach acid reduction tablet week slightly ease issue decide try natural gut relief day reduce bloated stomach lot think continue week ask gp cut drink energy drink soft drink fatty process snack etc nearly   week lose weight send blood test stool test sure concern issue stomach anxious maybe go suffer mild anxiety stress health problem go body concerned hope precaution similar story love hear talk get deal go thank', 'waste life want child grow middle class household poor afford lot luxury father drunk bit spend time friend roam bar mum hate father drink accept fact drunk come drunk school parentteacher interview sad geeky girl straight student whilst bully unpopular popular ask numerous time talk drunk promise numerous time stop drink andcontinue usual like boy stop drink boy stuff mother pretty support dad whilst work life   income go satisfy need drink catch drinking buddy travel car mum work time pay roof head bill food need travel family visit extended family stay mother priority maintain peace house dad come home drunk send room start yell tell respond cry retreat room bedroom sex fall asleep mum come bedroom asleep pretend especially get old disgust father subsequently stop drink find carry boy literally overnight   come home hospital tell carry boy get throw away single bottle contain alcohol include low grade rum bake want grandson drunk single drop alcohol preach ex meet age   get marry young look feel meal ticket year     year probably work   year know stick argument usually end like divorce want divorce real wife mother try find excuse behavior boring work time age   remember work maternity break lucky line work manage prioritize child like spend time home cooking maintain home spending time family friend like go drink start put downsilly thing like have big nose little feminine nose way like bit thick head mathematic degree dumb wavelength generally point view wrong derogatory thing extended family extended family colorful fault definitely reason bring topic conversation sober bring start yell cowidiotinsert derogatory sensitive try justify behavior tell father physically abusive little child age   get drunk unhappy   happy realize time happyhappiness individual internal smash house tear ceiling dining roomfurnituredishe   well quiet come home say continue call frigid derogatory stop cry wake abuse dream cheat harm   yo sleep nightmare refuse pick sick   yo old miss school bus play card town work time start cry tell bus company complain organize transport cook compare mothersgrandmothersaunt cook hoover kitchen tell stuff   nigela stretch imagination like cook prepare healthy hearty meal people importantly child like eat hate parent come offer advice parent   admittedly father easy person live like friend gayfatpoorand time spend waste respectful wife mother   number people community friendsacquaintancespeople church comment like form friendship family find hard deal subsequently stop drink start behave holy thou offer drink divorce   year ago remain live house kid place child get seriously ill etc support hobbieshunte fishing boatingbut grow unhappy pass day point cry have borderline panic attack way home work decide want bed move spare room spend wake moment hobby computer game usually sit underwear house grow apart   grow resentful life let away shit havewhilst grow apart couple remain civil argue try talk number time help house chore cooking house day day usually refuse say pick child child madeorder food ask leave inherit house   month ago state move receive small income basic lifestyle want help bill want visit want help introduce neighbor mrs try persuade sell house want feel guilty refuse live beautiful little town think potentially go bed knot stomach argue talk friend old house need major renovation knockdown rebuild money sell downsize work time hate life hate fact waste hate fact life try people support financially emotionally support emotionally parent pass away child pass away finally dusk life continue like dancingtravellingskiingi energywillmotivation like people watch like watch couple exchange glance hold hand   feel want want seriously struggle find single reason child remain alive want commit suicide tired']"
17,21,17_asbestos_smoke_anxiety_house,"['asbestos', 'smoke', 'anxiety', 'house', 'expose', 'roof', 'use', 'know', 'clothe', 'fence']","['normal hi time try need advice   history sh   know start try stop go nothing wrong find relapse feel like overdramatic come mental health feel like fake thing early year get diagnose anxiety depression try therapy honestly help want able tell parent think put therapy solve issue people feel comfortable share horrible want bad recover normal feel like attention seek time find think want die have plan like think likely method use actively want pursue brief strong night find have thought dream want die want disappear intrusive thought hurt know relate make sense haha lot want know word know', 'stop take antidepressant mood go hey bit background appointment psychiatrist january say mild bpd prescribe medication depressive feeling refer psychologist appointment psychologist find go direction feel need focus entirely phobia social anxiety problem come help stop go feel good medication upbeat suicidal ideation time job run money time normally trigger bad thought weather remarkably have money afford script fill take week start time job nearly   week ago get car start learn drive move nice house month fulfil dream get dog creep thought loneliness helplessness sadness despair uselessness thought suicide creep tonight cry bathroom picture world feel lonely isolated family live hour away exactly feel long time seek help begin realise thing paper look happy brain allow happy add sadness despair wonder point need script maybe live life type anti depressant major depression persistent low mood patch feel worthless suicidal big deal live life antidepressant life feel like burden brain lonely know near people cure loneliness bad thing huge rant guess want hear people possible life brain work happiness thank sorry rant beyondblue clinicallytraine moderator work offline invisible issue relate suicide selfharm time general supportive comment community encourage concern suicide selfharm phone support service   ', 'struggle intrusive thought hi struggle suicidal thought feel like happen   month sister commit suicide year ago rational mind family feel trapped good day day feel low feel like talk depressed boyfriend feel bad want time happy exercise try eat healthy spend time friend drink try hard thing mean therapy number time feel like week get mindfullness kind make anxious especially thought away bad state mind depressed want angry family dad alcoholic struggle depression irritable parent struggle empathy feel like bad person want stop feel like hope keep disappear long go']"
18,24,18_hair_camp_skin_bite,"['hair', 'camp', 'skin', 'bite', 'pick', 'anxious', 'feel', 'cat', 'know', 'anxiety']","['feel like go crazy home hate stick home day worried get covid able leave house   day bad mental health extremely restless make anxiety bad stick home day literally have isolate   day cope stay bed day point get feel like stay home day   feel like scream drive agitated depress get bad license car hate see car sit carport day drive', 'want know hi simone single mum struggle anxiety post doctor see day recommend website think check struggle anxiety entire life turn   bad get point feel moment awake struggle basic thing like walk school shopping bad wait thing like kid extra curricular activity wait finish like feel trapped sit anxiety thing time fear feeling run home safe hard thing feel feel anxiety home feel safe feel know cause anxiety want talk symptom feel want know feel understand feel look carefree able life debilitate condition heart race doctor say pulse feel like breath yawn breath like stop get deep breath breathing normal fear pass pass feel lightheaded symptom rush home scared feel like go fall currently chest tight help fear turn drink ease feeling struggle anxiety get medication   year ago son help fear dentist tell dr anxiety medication doctor treat junkie seek help reconfirm feel doctor seek help see dr week bad process high hope receive help need want feel people feel hate steal day away ruin beautiful moment want stop feel control anxiety', 'anxiety sadness family leave home holiday hi think help advice     year suffer anxiety come away family leave home holiday extended period time young sister move america college hard eventually away eventually issue day leave day leave anxious cry lot usually night think meditation work breathe exercise completely help night leave bad little sleep wake panic cry lot urge bed wake mum time resist wake time go start cry randomly house try positive enjoy time anxious enjoy afraid happen think place anxiety fear miss house usually mum day distract go stay close family friend house night make calendar try fill activity possible suppose go thing solution calm anxiety peak time night reduce cry speak mind tell mum feel father suffer similar thing child wonder thank advance']"
19,85,19_drink_lockdown_alcohol_husband,"['drink', 'lockdown', 'alcohol', 'husband', 'year', 'kid', 'time', 'feel', 'know', 'child']","['fear victorian lockdown statistic fight urge write thread today feel extremely isolated late snap lockdown victoria bad couple week come close time end end talk go hospital emergency admit   day care transfer residential recovery centre supposedly couple week number circumstance include covid restriction end home small positive hope face face support community lockdown happen live regional community case endure isolated lifestyle law struggle worsen independent covid admit hospital severe anxiety depression experience spend time cry reason fear cycle begin anxiety pang building feel end restriction leave hope recovering wish live state people live degree freedom live allow visit come house surely state exemption end go regardless risk covid infection give local crisis hotline timid ring allow physically visit condemn talk people virtual rest life start antidepressant couple week ago cause problem anymore tired world complicated', 'severe anxiety lockdown hi people new lockdown melbourne notice anxiety   time bad severe anxiety ptsd technically finish tonight lockdown stress notice hear lockdown physical symptom happen like loose stool randomly nausea headache stuff horrible feeling panic day oh bad nightmare experience feel mentally live supportive family', 'worry life lockdown melbourne   month leave   km house dan andrews announce news let know learn lockdown mental health quality life want continue problem lately announcement suddenly worrying voice head happen life lockdown know job anymore know positive change definitely want live melbourne like live situation moment survive day feel stagnant live sake alive time ok lockdown hard feel convinced life change give want lockdown rationalize fault feel like lose hope feel like try hard stay positive motivated feel exhausted world love outside   wall certainly   km work lockdown forward career change want pursue feel helpless tired go crazy certainly find article news feel like']"
20,18,20_gay_straight_man_hocd,"['gay', 'straight', 'man', 'hocd', 'attraction', 'thought', 'bisexual', 'attract', 'intrusive', 'girl']","['hocd   girlfriend sexually attract meet girlfriend suffer hocd   year torcher high school sexually attract girl hocd start find watch soap tv neighbour sister favourite character turn gay thinking scene question sexuality know straight keep doubt question think obsession point convince gay constantly scared watch tele incase find dude attractive scared go turn gay mate look bloke prove attraction everytime intimate girlfriend get intrusive gay thought question attract rule life scared eventually go turn gay thought go similar scared hocd go turn gay beautiful girlfriend want lose gay want gay', 'intrusive thought insight intrusive thought know problem read intrusive thought absolutely relate intrusive thought gay gay people friend say wrong afraid start old job year lesbian take 2ic week work morning drive work remember yesterday thought pop relate gay start remember intersection take place light red wait turn right fwy fear turn gay happy achieve anxiety job fear convince go blind past paranoid walk gay talk gay sound speak try act manly hair cut   know aware silly sexually arouse woman woman kid want age   sexual fantasy man know man good lookinghandsome honest scare believe straight man determine man good look scared speak psychologist fear straight label gay type person anxiety believe stuff bad deep know straight help feel uncertainty question straight man know man attractive exactly closet mean afraid society think afraid gay want straight know look like stupid question sorry look ignorant intrusive thought weird question pop remain unanswered wrong way help people love gay people respect awesome friend fear want well thank thank', 'hocd   year old male life alway completely straight sexual realtion opposite gender enjoy fantasise have romantic relationship gay pass mind antigay hate dislike gay sister gay problem gay instantly turn recently watch porn come video gay definitely male female video start mind flood intrusive thought constantly think gay asnd gay mind thought man anxious able function thought occur   day sit room freak research wrong attempt tell mind attract woman cause pain basically night thought d break cry research lot sound like suffer hocd recently feel like thought win gay reason thought man sexual relation part gay sex stand man feel like right thing make feel like actually gay deep feel like possible turn gay sorry long post mind edge right note start   till suffer social anxiety depression currently see psychologist']"
21,30,21_hair_dentist_eyebrow_anxiety,"['hair', 'dentist', 'eyebrow', 'anxiety', 'tongue', 'panic', 'surgery', 'trichotillomania', 'help', 'pull']","['depression help lose brush hair like month pluck eyebrow hair job manic attack break time help', 'sad mum depression trigger hair loss hi new site definitely need suffer anxiety depression time round past   month marriage break late   move family home happy decision possibly happy long time time change trigger hair loss hair fall noticeably rapidly year   doctor stress change life circumstance lose   hair send downward spiral depression feel like moment cry hourly unhealthy obsession search research google youtubee hair loss head shaving bald woman bout happy happy appearance life   know ill go want   find enjoyable moment stressful difficult simple thing like school pick grocery find uphill battle appointment gp time talk medication think onslaught negative feeling thought effect hormone digestion inturn cause massive skin breakout   add despair appearance friend try reach completely drop social scene bare look facebook   know people worried reason know track obsessive thought hair mean sit home day online walk bathroom mirror look hair way live   consider shave completely worried reaction britney effect   lose mind shave head know suitable post section apologise bit brash tmi hope get help feel hope meet people forum', 'body dysmorphiaanxiety hairline extremely insecure hair right hairline rash year ago leave untreated lose hair right temple left compltely normal anxious mirro stop look hair mirror spend hour try comb hair way right hair line thing wake look right hair line expose make anxious know sit anaylse single hair strand hairline sure perfect contemplate get hair transplant fix right know compulsion bad spend hour look mirror try different hairstyle look good start sweat anxiety shower restart process day think hair lay way like cover right hairline day right hair line expose ruin day overly obesse hair point dictate feel day share tip help   read exposure therapy help']"
22,8,22_eye_vision_visual_optometrist,"['eye', 'vision', 'visual', 'optometrist', 'anxiety', 'appointment', 'scan', 'ophthalmologist', 'specialist', 'test']","['anxiety eye problem hi hope help   stress super high anxiety   week work eye play eye floater find hard focus bright room night bright light shopping centre work tv hurt eye find hard focus drive car day night go away instantly   stress anxiety low normal   like cloud lift   see gp check test month good eye test need read glass week', 'medical anxiety aware year crippling anxiety medical test point basically bear genetic condition inherit father syndrome symptom present birth major symptom huge trouble eye childhood   result legally blind   yrs old eye trouble extent       accompany eye specialist appointment chair see vascularization eye say basically quit life blind   yr numerous eye doctor say cornea fine tf go tyo blind probably   different eye doctor say take   yr old report eye specialist   week ago dry eye symptom say eye change   fact visual acuity test   excellent   week wait appointment nightmare forget original diagnosis feel like maybe doctor wrong diagnosis right issue vision know illogical trauma diagnosis blindness believe time haunt rid appointment monday dry eye specialist wait appt cause severe anxiety panic attack mode go   week book book medical appt dental one fine way wil forgive eye specialist   yrs ago', 'struggle cope eye anxiety   last long hi title thread suffer health anxiety relate eyesvision guess hypochondria near   month start get crippling anxiety panic attack stem stressful period life pet dog have life threaten injury pass uni exam drink lot caffeine essentially come study like eye strained start peripheral visual snowhaze guess immediately book optometrist appointment unfortunately early appointment couple day away bad time come see scan eye check vision come conclusion eye healthy yes relief actually little anxiety appointment vision go normal day later start overthinke believe optometrist visual symptom start come lead ophthalmologist result healthy eye sinister eye disease good week thing happen anxiety come vision problem   month   month anxiety constant week holiday nz supportive partner stop think vision anxiety have fun see   gps   optometrist   ophthalmologist neurologist   retinal eye scan oct scan macular visual field test mri head doctor specialist scan tell show wrong eye brain regular appointment gp 13th month likely ask referral neuroophthalmologist help wrap head vision like closing apparently completely fine start see psychologist good gp recommend try anxiety medication hope help achieve goal getting rid anxiety end year']"
